30 185
0 1 1
0 6 17
0 7 45
0 8 22
0 9 47
0 11 54
0 12 47
0 14 99
0 15 84
0 16 37
0 18 52
0 21 54
0 23 73
0 24 22
0 25 76
0 27 49
0 28 72
1 2 1
1 3 18
1 4 73
1 5 82
1 6 88
1 7 100
1 15 41
1 18 40
1 20 38
1 24 86
2 3 1
2 8 91
2 9 61
2 11 82
2 12 57
2 14 17
2 18 11
2 19 91
2 20 92
2 22 80
2 23 71
2 28 21
3 6 14
3 7 27
3 8 45
3 10 78
3 11 91
3 12 78
3 14 89
3 15 58
3 17 87
3 18 100
3 20 95
3 27 22
3 28 81
3 29 39
4 5 40
4 9 88
4 10 58
4 12 25
4 13 23
4 14 39
4 15 38
4 18 12
4 21 94
4 23 43
4 25 69
4 27 33
4 29 29
5 7 12
5 9 14
5 10 36
5 12 57
5 16 84
5 17 71
5 20 86
5 21 66
5 22 79
5 24 32
5 27 17
5 29 74
6 7 47
6 9 39
6 16 78
6 18 20
6 20 23
6 23 38
6 24 86
6 27 61
6 29 26
7 10 81
7 16 22
7 18 86
7 21 27
7 27 60
7 28 96
8 9 83
8 12 23
8 14 10
8 16 40
8 17 73
8 20 76
9 10 33
9 12 94
9 22 76
9 23 81
9 24 47
9 26 80
10 12 18
10 14 65
10 15 11
10 18 98
10 20 63
10 21 96
10 24 24
10 26 22
10 28 11
11 15 51
11 17 57
11 18 21
11 19 59
11 21 43
11 22 69
11 28 15
11 29 21
12 13 75
12 17 81
12 19 39
12 21 80
12 28 34
12 29 38
13 14 18
13 16 27
13 19 61
13 20 33
13 24 10
13 27 10
14 15 75
14 16 54
14 17 83
14 19 16
14 20 71
14 23 82
15 20 90
15 21 37
15 23 24
15 26 69
15 27 70
15 28 18
16 17 82
16 18 32
16 19 46
16 22 40
16 26 12
16 27 64
17 21 83
17 22 41
17 23 96
17 24 49
17 27 28
17 28 57
18 20 76
18 21 57
18 22 35
18 24 42
18 25 65
18 26 67
18 27 97
19 22 68
19 23 96
19 24 49
19 26 41
19 29 14
20 22 87
20 27 68
21 28 80
21 29 21
22 29 81
23 24 70
23 26 88
23 27 77
23 28 83
24 27 60
24 28 61
24 29 42
25 27 85
27 28 96
